        5768           1
        2786           1        2790
        2790        2784        2791
        2791        2782        2792
        2792        2780        2793
        2793        2778        2794
        2794        2776        2795
        2795        2774        2796
        2796        2772        2797
        2797        2770        2798
        2798        2768        2799
        2799        2766        2800
        2800        2764        2801
        2801        2762        2802
        2802        2760        2803
        2803        2758        2804
        2804        2756        2805
        2805        2754        2806
        2806        2752        2807
        2807        2750        2808
        2808        2748        2809
        2809        2746        2810
        2810        2744        2811
        2811        2742        2812
        2812        2740        2813
        2813        2738        2814
        2815        2814        2638
        2636        2816        2815
        2634        2817        2816
        2632        2818        2817
        2630        2819        2818
        2628        2820        2819
        2626        2821        2820
        2624        2822        2821
        2622        2823        2822
        2620        2824        2823
        2618        2825        2824
        2616        2826        2825
        2614        2827        2826
        2612        2828        2827
        2610        2829        2828
        2608        2830        2829
        2606        2831        2830
        2604        2832        2831
        2602        2833        2832
        2600        2834        2833
        2598        2835        2834
        2596        2836        2835
        2594        2837        2836
        2592        2838        2837
        2838           3        2787
           3        2839        2787
        2839        2590        2840
        2840        2593        2841
        2841        2595        2842
        2842        2597        2843
        2843        2599        2844
        2844        2601        2845
        2845        2603        2846
        2846        2605        2847
        2847        2607        2848
        2848        2609        2849
        2849        2611        2850
        2850        2613        2851
        2851        2615        2852
        2852        2617        2853
        2853        2619        2854
        2854        2621        2855
        2855        2623        2856
        2856        2625        2857
        2857        2627        2858
        2858        2629        2859
        2859        2631        2860
        2860        2633        2861
        2861        2635        2862
        2862        2637        2863
        2864        2863        2687
        2685        2865        2864
        2683        2866        2865
        2681        2867        2866
        2679        2868        2867
        2677        2869        2868
        2675        2870        2869
        2673        2871        2870
        2671        2872        2871
        2669        2873        2872
        2667        2874        2873
        2665        2875        2874
        2663        2876        2875
        2661        2877        2876
        2659        2878        2877
        2657        2879        2878
        2655        2880        2879
        2653        2881        2880
        2651        2882        2881
        2649        2883        2882
        2647        2884        2883
        2645        2885        2884
        2643        2886        2885
        2641        2887        2886
        2887        2640        2788
        2640        2888        2788
        2639        2889        2888
        2889        2642        2890
        2890        2644        2891
        2891        2646        2892
        2892        2648        2893
        2893        2650        2894
        2894        2652        2895
        2895        2654        2896
        2896        2656        2897
        2897        2658        2898
        2898        2660        2899
        2899        2662        2900
        2900        2664        2901
        2901        2666        2902
        2902        2668        2903
        2903        2670        2904
        2904        2672        2905
        2905        2674        2906
        2906        2676        2907
        2907        2678        2908
        2908        2680        2909
        2909        2682        2910
        2910        2684        2911
        2911        2686        2912
        2912        2736        2913
        2913        2734        2914
        2914        2732        2915
        2915        2730        2916
        2916        2728        2917
        2917        2726        2918
        2918        2724        2919
        2919        2722        2920
        2920        2720        2921
        2921        2718        2922
        2922        2716        2923
        2923        2714        2924
        2924        2712        2925
        2925        2710        2926
        2926        2708        2927
        2927        2706        2928
        2928        2704        2929
        2929        2702        2930
        2930        2700        2931
        2931        2698        2932
        2932        2696        2933
        2933        2694        2934
        2934        2692        2935
        2935        2690        2936
           2        2789        2936
        2937        2789           2
        2938        2937        2689
        2939        2938        2691
        2940        2939        2693
        2941        2940        2695
        2942        2941        2697
        2943        2942        2699
        2944        2943        2701
        2945        2944        2703
        2946        2945        2705
        2947        2946        2707
        2948        2947        2709
        2949        2948        2711
        2950        2949        2713
        2951        2950        2715
        2952        2951        2717
        2953        2952        2719
        2954        2953        2721
        2955        2954        2723
        2956        2955        2725
        2957        2956        2727
        2958        2957        2729
        2959        2958        2731
        2960        2959        2733
        2961        2960        2735
        2962        2961        2737
        2963        2962        2739
        2964        2963        2741
        2965        2964        2743
        2966        2965        2745
        2967        2966        2747
        2968        2967        2749
        2969        2968        2751
        2970        2969        2753
        2971        2970        2755
        2972        2971        2757
        2973        2972        2759
        2974        2973        2761
        2975        2974        2763
        2976        2975        2765
        2977        2976        2767
        2978        2977        2769
        2979        2978        2771
        2980        2979        2773
        2981        2980        2775
        2982        2981        2777
        2983        2982        2779
        2984        2983        2781
        2985        2984        2783
        2786        2985           1
        2790           1        2785
        2791        2784        2782
        2790        2785        2784
        2792        2782        2780
        2793        2780        2778
        2794        2778        2776
        2795        2776        2774
        2796        2774        2772
        2797        2772        2770
        2798        2770        2768
        2799        2768        2766
        2800        2766        2764
        2801        2764        2762
        2802        2762        2760
        2803        2760        2758
        2804        2758        2756
        2805        2756        2754
        2806        2754        2752
        2807        2752        2750
        2808        2750        2748
        2809        2748        2746
        2810        2746        2744
        2811        2744        2742
        2812        2742        2740
        2813        2740        2738
        2638        2814        2738
        2638        2636        2815
        2636        2634        2816
        2634        2632        2817
        2632        2630        2818
        2630        2628        2819
        2628        2626        2820
        2626        2624        2821
        2624        2622        2822
        2622        2620        2823
        2620        2618        2824
        2618        2616        2825
        2616        2614        2826
        2614        2612        2827
        2612        2610        2828
        2610        2608        2829
        2608        2606        2830
        2606        2604        2831
        2604        2602        2832
        2602        2600        2833
        2600        2598        2834
        2598        2596        2835
        2596        2594        2836
        2594        2592        2837
        2591        2838        2592
           3        2838        2591
        2839           3        2591
        2590        2593        2840
        2839        2591        2590
        2593        2595        2841
        2595        2597        2842
        2597        2599        2843
        2599        2601        2844
        2601        2603        2845
        2603        2605        2846
        2605        2607        2847
        2607        2609        2848
